"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0010826T";"Centre de Formation d'Apprentis du CECOF Bernard Palissy";"AUVERGNE-RHONE-ALPES";41;38;67;63;4;68;69;71
"0010856A";"ASSOCIATION POUR LA FORMATION ET LA PROMOTION DES METIERS DE L'AIN";"AUVERGNE-RHONE-ALPES";26;34;76;78;-1;79;80;83
"0010965U";"BTP CFA Ain";"AUVERGNE-RHONE-ALPES";27;39;70;70;0;72;73;76
"0021739E";"CFA BTP CFA 02";"HAUTS-DE-FRANCE";31;37;53;62;-8;65;69;71
"0021923E";"centre formation apprentis agricole cfa agricole";"HAUTS-DE-FRANCE";36;38;48;50;-2;54;54;59
"0030124U";"Centre de formation d'apprentis - Institut de formation interprofessionnel de l'Allier";"AUVERGNE-RHONE-ALPES";40;38;54;56;-2;63;62;67
"0030126W";"BTP CFA Allier";"AUVERGNE-RHONE-ALPES";30;38;60;63;-3;65;70;72
"0030993N";"Centre de formation d'apprentis agricoles et horticoles de Moulins-Neuville";"AUVERGNE-RHONE-ALPES";34;29;56;58;-2;63;63;70
"0031030D";"Centre de Formation d'Apprentis de l'Industrie d'Auvergne";"AUVERGNE-RHONE-ALPES";;;;;;;;
"0040161D";"CFA CAMPUS DE DIGNE";"PROVENCE-ALPES-COTE D'AZUR";46;32;55;56;-1;59;58;67
"0040548Z";"CFA CCI ALPES DE HAUTES PROVENCE";"PROVENCE-ALPES-COTE D'AZUR";36;54;59;65;-6;66;69;59
"0050503V";"CFA Régional des Métiers et de l'Artisanat Campus de Gap";"PROVENCE-ALPES-COTE D'AZUR";45;35;62;62;1;67;65;69
"0060862E";"Ctre de formation d'apprentis Inst. de form. pharmacie et santé";"PROVENCE-ALPES-COTE D'AZUR";37;33;60;64;-4;62;64;64
"0060916N";"Ctre de formation d'apprentis bâtiment et TP des AM";"PROVENCE-ALPES-COTE D'AZUR";40;34;51;60;-9;51;59;58
"0060918R";"Ctre de formation d'apprentis inst de formation automobile";"PROVENCE-ALPES-COTE D'AZUR";41;33;61;67;-7;64;66;70
"0060920T";"Ctre de formation régional d'apprentis Faculté des métiers";"PROVENCE-ALPES-COTE D'AZUR";46;29;57;57;0;65;57;65
"0061603K";"cfa regional agricole antibes";"PROVENCE-ALPES-COTE D'AZUR";48;25;49;48;1;56;53;59
"0061909T";"Ctre de formation d'apprentis Métropole Côte d'Azur";"PROVENCE-ALPES-COTE D'AZUR";48;31;56;56;0;58;59;60
"0061931S";"Section d'apprentissage Leon Chiris";"PROVENCE-ALPES-COTE D'AZUR";34;;;;;;;
"0062087L";"CFA rég. Infosupaca";"PROVENCE-ALPES-COTE D'AZUR";12;19;62;56;6;50;54;46
"0062093T";"Ctre de formation d'apprentis régional Don Bosco";"PROVENCE-ALPES-COTE D'AZUR";38;19;55;63;-8;62;61;66
"0062176H";"Ctre de formation d'apprentis de l'académie de Nice";"PROVENCE-ALPES-COTE D'AZUR";50;19;51;52;-1;56;53;59
"0070876P";"CFA Ardèche Nord SEPR";"AUVERGNE-RHONE-ALPES";38;39;64;59;4;73;67;72
"0071199R";"CFA Lanas - André Fargier";"AUVERGNE-RHONE-ALPES";44;36;44;53;-9;57;48;63
"0071376H";"CFA - ADAPSS";"AUVERGNE-RHONE-ALPES";23;52;72;78;-6;82;78;81
"0080842X";"ALMEA FORMATION Interpro Ardennes";"GRAND EST";48;34;46;52;-7;50;53;58
"0080972N";"Centre de Formation d'Apprentis Agricole des Ardennes";"GRAND EST";48;37;44;56;-12;54;49;59
"0081065P";"Centre de Formation d'Apprentis Agricole Saint-Laurent";"GRAND EST";44;37;47;50;-3;60;56;65
"0081125E";"Centre de Formation d'Apprentis de l'Académie de Reims";"GRAND EST";21;30;65;64;1;71;68;69
"0081137T";"CFA BTP GRAND EST LORRAINE  DES ARDENNES";"GRAND EST";31;47;65;66;-2;76;76;82
"0090553C";"Centre de Formation d'Apprentis de la Chambre de Métiers de l'Ariège";"OCCITANIE";41;35;55;54;1;57;61;64
"0090656P";"Centre de Formation d Apprentis  Institut de Formation en Alternance (IFA) Chambre de Commerce et d Industrie de l Ariège";"OCCITANIE";25;26;62;64;-1;75;84;66
"0100715Y";"Alméa Formations Interpro 10";"GRAND EST";46;33;56;53;3;64;65;67
"0100824S";"CFA BTP GRAND EST LORRAINE de l'Aube";"GRAND EST";38;42;55;64;-9;63;64;70
"0100948B";"Centre de Formation d'Apprentis Agricole de l'Aube Charles Baltet";"GRAND EST";28;36;63;55;7;65;63;69
"0101035W";"Centre de Formation d'Apprentis de la pharmacie de Troyes";"GRAND EST";26;16;85;74;11;85;81;83
"0110681F";"Centre de formation d'apprentis Interprofessionnel Henri Martin";"OCCITANIE";39;40;50;56;-5;61;58;66
"0110884B";"Centre de formation d'apprentis BTP de l'Aude";"OCCITANIE";31;34;51;58;-8;63;60;65
"0110943R";"centre formation apprentis agricole de l'aude";"OCCITANIE";37;21;45;51;-6;58;59;64
"0110999B";"Section d'apprentissage du lycée professionnel François Andréossy";"OCCITANIE";18;;;;;;;
"0111003F";"Centre de formation d'apprentis Spécialisé Languedoc-Roussillon";"OCCITANIE";43;48;28;35;-7;31;38;40
"0111009M";"Section d'apprentissage privée du collège privé Saint-Joseph";"OCCITANIE";;;;;;;;
"0111060T";"Centre de formation d'apprentis de l'Education nationale Interdépartemental de l'Aude et des Pyrénées-Orientales";"OCCITANIE";29;;;;;;;
"0120887Z";"Centre de formation d'apprentis Chambre des metiers de l'Aveyron";"OCCITANIE";40;46;58;63;-5;65;66;73
"0121358L";"Centre de formation des apprentis agricole de l'Aveyron   EPLA de Villefranche de Rouergue";"OCCITANIE";37;32;61;61;0;64;62;66
"0121440A";"Centre de formation d'apprentis Chambre de commerce Aveyron";"OCCITANIE";30;34;62;69;-6;75;73;73
"0121479T";"CFA de Saint Affrique";"OCCITANIE";25;11;78;68;10;81;73;82
"0131767A";"CFA MUNICIPAL DE SALON DE PROVENCE";"PROVENCE-ALPES-COTE D'AZUR";61;30;65;57;8;67;70;69
"0131772F";"Centre de formation d'apprentis du BTP Marseille";"PROVENCE-ALPES-COTE D'AZUR";42;36;52;61;-9;59;60;61
"0131775J";"Centre de Formation de la Bourse du Travail";"PROVENCE-ALPES-COTE D'AZUR";39;24;49;52;-2;53;53;56
"0131779N";"de la pharmacie Marseille Provence";"PROVENCE-ALPES-COTE D'AZUR";36;9;74;75;-1;75;74;79
"0131781R";"CFA de la Coiffure Roger Para";"PROVENCE-ALPES-COTE D'AZUR";51;38;55;53;2;59;55;66
"0131782S";"CFA INSUDTRIE DE PROVENCE";"PROVENCE-ALPES-COTE D'AZUR";21;25;71;75;-3;77;77;80
"0131784U";"Sainte Victoire Pays d'Aix";"PROVENCE-ALPES-COTE D'AZUR";50;65;51;55;-4;60;51;54
"0131786W";"CFA METIERS DE L'AUTOMOBILE";"PROVENCE-ALPES-COTE D'AZUR";41;32;65;65;-1;69;65;67
"0131903Y";"CFA DE LA COIFFURE ARCOLE";"PROVENCE-ALPES-COTE D'AZUR";;48;;;;;;
"0132469N";"CFA DU BATIMENT ET TRAVAUX PUBLICS";"PROVENCE-ALPES-COTE D'AZUR";42;39;54;63;-9;59;57;62
"0132470P";"CFA INTERPROFESSIONNEL COROT";"PROVENCE-ALPES-COTE D'AZUR";51;15;53;47;6;55;56;56
"0133004V";"CFA DU TRANSPORT ET DE LA LOGISTIQUE (AFTRAL)";"PROVENCE-ALPES-COTE D'AZUR";24;11;66;65;1;68;65;67
"0133037F";"centre de formation d apprentis hotellerie et alimentation";"PROVENCE-ALPES-COTE D'AZUR";53;25;48;50;-2;62;55;59
"0133339J";"CFA DE LA CITE TECHNIQUE";"PROVENCE-ALPES-COTE D'AZUR";32;15;57;62;-4;66;66;69
"0133475G";"CFA DES COMPAGNONS DU DEVOIR";"PROVENCE-ALPES-COTE D'AZUR";40;29;70;63;7;62;70;66
"0133489X";"CFA EPURE MEDITERRANEE";"PROVENCE-ALPES-COTE D'AZUR";25;33;51;57;-6;59;62;68
"0133509U";"FEDERATION REGIONALE DE MFR";"PROVENCE-ALPES-COTE D'AZUR";42;24;53;48;5;60;54;59
"0133527N";"CFA régional interconsulaire méditerranée";"PROVENCE-ALPES-COTE D'AZUR";37;14;58;61;-3;63;64;70
"0133535X";"centre formation apprentis agricole metiers hippiques";"PROVENCE-ALPES-COTE D'AZUR";64;11;71;61;10;68;77;74
"0133549M";"CFA BANQUE FINANCE";"PROVENCE-ALPES-COTE D'AZUR";9;13;74;70;5;74;69;71
"0133565E";"Métiers de la Poste - FORMAPOSTE Méditerranée";"PROVENCE-ALPES-COTE D'AZUR";19;13;51;56;-6;61;72;74
"0133597P";"INHNI SUD EST";"PROVENCE-ALPES-COTE D'AZUR";48;56;33;45;-12;40;47;51
