"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0010001W";"Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat";"AUVERGNE-RHONE-ALPES";"ensemble";49;47;41;6;51;55;56
"0010006B";"Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment";"AUVERGNE-RHONE-ALPES";"ensemble";36;55;46;9;52;53;56
"0010006B";"Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";36;54;45;10;52;54;54
"0010006B";"Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0010014K";"Lycée général et technologique Edgar Quinet";"AUVERGNE-RHONE-ALPES";"ensemble";34;72;61;11;68;68;74
"0010016M";"Lycée polyvalent Joseph-Marie Carriat";"AUVERGNE-RHONE-ALPES";"ensemble";40;69;61;7;72;75;77
"0010016M";"Lycée polyvalent Joseph-Marie Carriat";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";48;63;54;9;64;70;71
"0010016M";"Lycée polyvalent Joseph-Marie Carriat";"AUVERGNE-RHONE-ALPES";"dont apprentis";22;77;71;5;84;81;85
"0010020S";"Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques";"AUVERGNE-RHONE-ALPES";"ensemble";52;71;61;10;71;73;78
"0010020S";"Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";49;61;49;12;58;58;68
"0010020S";"Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques";"AUVERGNE-RHONE-ALPES";"dont apprentis";55;83;77;6;88;92;92
"0010021T";"Lycée professionnel Marcelle Pardé - Lycée des métiers du réseau textile mode cuir";"AUVERGNE-RHONE-ALPES";"ensemble";50;48;43;5;44;55;61
"0010032E";"Lycée polyvalent Xavier Bichat";"AUVERGNE-RHONE-ALPES";"ensemble";23;37;39;-2;42;51;40
"0010034G";"Lycée polyvalent Paul Painlevé";"AUVERGNE-RHONE-ALPES";"ensemble";53;41;39;2;40;46;51
"0010070W";"Lycée général et technologique privé Saint Pierre";"AUVERGNE-RHONE-ALPES";"ensemble";32;70;62;8;78;65;74
"0010072Y";"Lycée polyvalent international";"AUVERGNE-RHONE-ALPES";"ensemble";42;46;55;-9;57;43;46
"0010099C";"Lycée professionnel privé Saint Joseph - Lycée des métier des services administratifs et commerciaux - Lycée des métiers de l'électronique";"AUVERGNE-RHONE-ALPES";"ensemble";56;45;43;2;49;52;57
"0010814E";"Lycée professionnel privé Saint Joseph";"AUVERGNE-RHONE-ALPES";"ensemble";47;40;42;-2;52;66;60
"0010878Z";"Lycée polyvalent privé Jeanne d'Arc";"AUVERGNE-RHONE-ALPES";"ensemble";33;38;48;-11;33;34;39
"0010966V";"Etablissement régional d'enseignement adapté Philibert Commerson";"AUVERGNE-RHONE-ALPES";"ensemble";41;18;25;-7;30;34;41
"0011010T";"Lycée professionnel du Bugey";"AUVERGNE-RHONE-ALPES";"ensemble";39;43;36;7;40;49;48
"0011118K";"Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté";"AUVERGNE-RHONE-ALPES";"ensemble";39;52;49;4;57;59;65
"0011118K";"Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";39;55;47;7;59;60;66
"0011118K";"Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté";"AUVERGNE-RHONE-ALPES";"dont apprentis";38;34;46;-12;45;52;62
"0011119L";"Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages";"AUVERGNE-RHONE-ALPES";"ensemble";51;53;50;3;54;62;66
"0011119L";"Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";54;48;44;4;49;55;60
