"n°UAI de l'établissement";"Libellé de l'établissement";"Région";"Dont apprentis en EPLE";;"Taux";"Taux attendu";"Valeur ajoutée";
"0010001W";"Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat";"AUVERGNE-RHONE-ALPES";"ensemble";51;41;36;4;51
"0010006B";"Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment";"AUVERGNE-RHONE-ALPES";"ensemble";42;51;40;12;47
"0010006B";"Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";43;50;38;12;47
"0010006B";"Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0010014K";"Lycée général et technologique Edgar Quinet";"AUVERGNE-RHONE-ALPES";"ensemble";37;68;58;10;66
"0010016M";"Lycée polyvalent Joseph-Marie Carriat";"AUVERGNE-RHONE-ALPES";"ensemble";43;69;59;10;74
"0010016M";"Lycée polyvalent Joseph-Marie Carriat";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";51;62;52;10;68
"0010016M";"Lycée polyvalent Joseph-Marie Carriat";"AUVERGNE-RHONE-ALPES";"dont apprentis";23;80;69;11;83
"0010020S";"Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques";"AUVERGNE-RHONE-ALPES";"ensemble";43;62;58;4;74
"0010020S";"Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";45;34;43;-8;48
"0010020S";"Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques";"AUVERGNE-RHONE-ALPES";"dont apprentis";40;90;78;12;100
"0010021T";"Lycée professionnel Marcelle Pardé - Lycée des métiers du réseau textile mode cuir";"AUVERGNE-RHONE-ALPES";"ensemble";48;42;39;3;44
"0010032E";"Lycée polyvalent Xavier Bichat";"AUVERGNE-RHONE-ALPES";"ensemble";34;28;38;-10;41
"0010034G";"Lycée polyvalent Paul Painlevé";"AUVERGNE-RHONE-ALPES";"ensemble";55;45;36;9;44
"0010070W";"Lycée général et technologique privé Saint Pierre";"AUVERGNE-RHONE-ALPES";"ensemble";40;85;73;12;93
"0010072Y";"Lycée polyvalent international";"AUVERGNE-RHONE-ALPES";"ensemble";36;34;40;-6;48
"0010099C";"Lycée professionnel privé Saint Joseph - Lycée des métier des services administratifs et commerciaux - Lycée des métiers de l'électronique";"AUVERGNE-RHONE-ALPES";"ensemble";66;48;40;8;51
"0010814E";"Lycée professionnel privé Saint Joseph";"AUVERGNE-RHONE-ALPES";"ensemble";48;41;36;5;41
"0010878Z";"Lycée polyvalent privé Jeanne d'Arc";"AUVERGNE-RHONE-ALPES";"ensemble";37;32;41;-8;38
"0010966V";"Etablissement régional d'enseignement adapté Philibert Commerson";"AUVERGNE-RHONE-ALPES";"ensemble";30;21;23;-2;42
"0011010T";"Lycée professionnel du Bugey";"AUVERGNE-RHONE-ALPES";"ensemble";44;34;32;2;38
"0011118K";"Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté";"AUVERGNE-RHONE-ALPES";"ensemble";37;48;46;3;57
"0011118K";"Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";36;49;45;5;58
"0011118K";"Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté";"AUVERGNE-RHONE-ALPES";"dont apprentis";43;38;50;-12;54
"0011119L";"Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages";"AUVERGNE-RHONE-ALPES";"ensemble";59;48;48;0;46
"0011119L";"Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";63;42;41;0;35
"0011119L";"Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages";"AUVERGNE-RHONE-ALPES";"dont apprentis";42;66;66;0;78
"0011194T";"Lycée général et technologique de la Plaine de l'Ain";"AUVERGNE-RHONE-ALPES";"ensemble";26;56;55;0;62
"0011258M";"Lycée professionnel privé Ensemble scolaire Lamartine";"AUVERGNE-RHONE-ALPES";"ensemble";;;;;
"0011276G";"Lycée général et technologique du Val de Saône";"AUVERGNE-RHONE-ALPES";"ensemble";17;70;58;12;75
"0020012C";"Lycée polyvalent Jean de la Fontaine - Lycée des métiers de la santé, de la gestion et du commerce";"HAUTS-DE-FRANCE";"ensemble";48;25;32;-7;28
"0020014E";"Lycée d'enseignement général et technologique Gay Lussac";"HAUTS-DE-FRANCE";"ensemble";30;58;58;0;70
"0020014E";"Lycée d'enseignement général et technologique Gay Lussac";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";27;38;49;-11;58
"0020014E";"Lycée d'enseignement général et technologique Gay Lussac";"HAUTS-DE-FRANCE";"dont apprentis";33;84;72;12;86
"0020022N";"Lycée professionnel Jean Monnet";"HAUTS-DE-FRANCE";"ensemble";54;21;26;-4;32
"0020025S";"Lycée professionnel Château Potel - Lycée des métiers horticulture et maintenance (véhicules industriels, matériels agricoles et travaux publics)";"HAUTS-DE-FRANCE";"ensemble";48;21;28;-8;27
"0020031Y";"Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie";"HAUTS-DE-FRANCE";"ensemble";22;45;51;-6;50
"0020031Y";"Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";20;39;48;-8;46
"0020031Y";"Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie";"HAUTS-DE-FRANCE";"dont apprentis";;;;;
"0020032Z";"Lycée général et technologique Paul Claudel";"HAUTS-DE-FRANCE";"ensemble";42;35;44;-10;46
"0020034B";"Lycée polyvalent Pierre Méchain";"HAUTS-DE-FRANCE";"ensemble";57;34;35;0;36
"0020048S";"Lycée général et technologique Henri Martin";"HAUTS-DE-FRANCE";"ensemble";36;35;37;-3;36
"0020048S";"Lycée général et technologique Henri Martin";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";36;35;34;1;38
"0020048S";"Lycée général et technologique Henri Martin";"HAUTS-DE-FRANCE";"dont apprentis";35;33;45;-12;29
"0020049T";"Lycée général et technologique Pierre de La Ramée";"HAUTS-DE-FRANCE";"ensemble";25;46;47;-1;59
"0020050U";"Lycée d'enseignement général et technologique Condorcet";"HAUTS-DE-FRANCE";"ensemble";40;45;46;-1;59
"0020050U";"Lycée d'enseignement général et technologique Condorcet";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";41;44;44;0;58
"0020050U";"Lycée d'enseignement général et technologique Condorcet";"HAUTS-DE-FRANCE";"dont apprentis";30;;;;
"0020051V";"Lycée professionnel d'art - Lycée des métiers";"HAUTS-DE-FRANCE";"ensemble";66;;;;
"0020052W";"Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie";"HAUTS-DE-FRANCE";"ensemble";49;27;26;1;34
"0020052W";"Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";49;26;25;1;32
"0020052W";"Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie";"HAUTS-DE-FRANCE";"dont apprentis";;;;;
"0020059D";"Lycée général et technologique Gérard de Nerval";"HAUTS-DE-FRANCE";"ensemble";38;49;52;-3;61
"0020078Z";"Lycée professionnel Julie Daubie";"HAUTS-DE-FRANCE";"ensemble";48;17;24;-8;26
"0020078Z";"Lycée professionnel Julie Daubie";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";49;15;22;-7;24
"0020078Z";"Lycée professionnel Julie Daubie";"HAUTS-DE-FRANCE";"dont apprentis";;;;;
"0020079A";"Lycée professionnel Condorcet - Lycée des métiers";"HAUTS-DE-FRANCE";"ensemble";53;31;27;4;42
"0020088K";"Lycée professionnel Camille Claudel - Lycée des métiers de l'optique et du tertiaire";"HAUTS-DE-FRANCE";"ensemble";57;16;25;-9;23
"0020089L";"Lycée professionnel Frédéric et Irène Joliot Curie - Lycée des métiers de la gestion et de l'industrie";"HAUTS-DE-FRANCE";"ensemble";62;18;20;-2;21
"0020492Z";"Lycée professionnel privé Saint-Vincent-de-Paul - Lycée des métiers du design, de la santé et de l'hôtellerie";"HAUTS-DE-FRANCE";"ensemble";51;23;26;-3;37
"0020498F";"Lycée professionnel privé Sainte Sophie - Lycée des métiers des services à la personne";"HAUTS-DE-FRANCE";"ensemble";57;30;27;3;43
"0021476U";"Lycée polyvalent Léonard De Vinci - Lycée des métiers des éco-sciences et des éco-technologies";"HAUTS-DE-FRANCE";"ensemble";49;41;37;3;48
"0021478W";"Etablissement régional d'enseignement adapté";"HAUTS-DE-FRANCE";"ensemble";53;13;12;1;17
"0021479X";"Lycée professionnel Françoise Dolto - Lycée des métiers des services aux personnes et aux entreprises";"HAUTS-DE-FRANCE";"ensemble";47;11;18;-7;21
"0021869W";"Lycée d'enseignement général et technologique privé Saint Joseph";"HAUTS-DE-FRANCE";"ensemble";24;;;;
"0021873A";"Lycée général et technologique privé St Jean La Croix";"HAUTS-DE-FRANCE";"ensemble";20;34;46;-12;60
"0021874B";"Lycée général et technologique privé Saint Rémy";"HAUTS-DE-FRANCE";"ensemble";33;58;49;10;65
"0021906L";"Lycée professionnel privé Saint Charles - Lycée des métiers de la sécurité et de la maintenance";"HAUTS-DE-FRANCE";"ensemble";66;32;32;0;44
"0021939X";"Lycée polyvalent Jules Verne - Lycée des métiers des sciences et technologies pour un développement durable";"HAUTS-DE-FRANCE";"ensemble";59;19;29;-10;25
"0021999M";"Lycée professionnel privé Saint Joseph - Lycée des métiers de l'hôtellerie et de la restauration";"HAUTS-DE-FRANCE";"ensemble";70;;;;
"0022002R";"Lycée professionnel privé Saint Joseph";"HAUTS-DE-FRANCE";"ensemble";47;19;20;-1;27
"0022008X";"Lycée professionnel Jean Macé - Lycée des métiers du développement durable";"HAUTS-DE-FRANCE";"ensemble";51;20;21;-1;36
"0022022M";"Lycée d'enseignement technologique privé Sainte Sophie";"HAUTS-DE-FRANCE";"ensemble";30;27;36;-8;55
"0022042J";"Lycée polyvalent Jean Bouin - Lycée des métiers de la mode, des services à la personne et aux collectivités";"HAUTS-DE-FRANCE";"ensemble";54;8;20;-12;11
"0022044L";"Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment";"HAUTS-DE-FRANCE";"ensemble";35;45;43;2;57
"0022044L";"Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";39;37;34;2;51
"0022044L";"Lycée polyvalent Le Corbusier - Lycée des métiers de l'hôtellerie et du bâtiment";"HAUTS-DE-FRANCE";"dont apprentis";18;68;66;1;74
"0022108F";"Lycée général et technologique privé Saint-Vincent-de-Paul";"HAUTS-DE-FRANCE";"ensemble";26;;;;
"0022172A";"Micro lycée de Saint quentin";"HAUTS-DE-FRANCE";"ensemble";52;;;;
"0030026M";"Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux";"AUVERGNE-RHONE-ALPES";"ensemble";54;43;42;1;45
