n°UAI de l'établissement;Libellé de l'établissement;Région;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études ;Part en emploi 6 mois après la sortie ;Part des autres situations 
0010826T;Centre de Formation d'Apprentis du CECOF Bernard Palissy;AUVERGNE-RHONE-ALPES;43;64;64;1;43;37;20
0010856A;ASSOCIATION POUR LA FORMATION ET LA PROMOTION DES METIERS DE L'AIN;AUVERGNE-RHONE-ALPES;41;74;75;-1;41;44;15
0010965U;Centre de Formation d'Apprentis du BTP de l'Ain;AUVERGNE-RHONE-ALPES;50;68;71;-3;50;34;16
0011073L;Maison Familiale Rurale La Vernée - Péronnas;AUVERGNE-RHONE-ALPES;;;;;;;
0011074M;Maison Familiale Rurale de Bâgé-le-Châtel;AUVERGNE-RHONE-ALPES;;;;;;;
0011164K;GRETA-CFA Ain;AUVERGNE-RHONE-ALPES;45;68;71;-3;45;37;18
0011171T;Maison Familiale Rurale de Pont-de-Veyle;AUVERGNE-RHONE-ALPES;;;;;;;
0021502X;CFA de la CCIA;HAUTS-DE-FRANCE;36;52;54;-2;36;33;31
0021739E;CFA BTP CFA 02;HAUTS-DE-FRANCE;44;54;63;-9;44;30;26
0021831E;Maison Familiale Rurale de Clairfontaine;HAUTS-DE-FRANCE;35;30;42;-12;35;20;45
0021907M;Maison Familiale Rurale vallée du retz - Ambleny;HAUTS-DE-FRANCE;;;;;;;
0021908N;Maison Familiale Rurale de La Capelle;HAUTS-DE-FRANCE;10;57;52;5;10;52;38
0022189U;Organisme de formation-Centre de formation d'apprentis d'Axion formations Saint-Quentin;HAUTS-DE-FRANCE;;;;;;;
0022191W;Organisme de formation-Centre de formation d'apprentis de 3 solutions avec l'alternance Saint-Quentin;HAUTS-DE-FRANCE;5;54;47;7;5;51;44
0022193Y;Organisme de formation-Centre de formation d'apprentis STUDI;HAUTS-DE-FRANCE;10;67;55;12;10;60;30
0030124U;Centre de formation d'apprentis - Institut de formation interprofessionnel de l'Allier;AUVERGNE-RHONE-ALPES;43;58;59;0;43;33;24
0030126W;Centre de formation d'apprentis - Ecole des métiers du bâtiment;AUVERGNE-RHONE-ALPES;44;65;65;0;44;37;19
0031030D;Centre de Formation d'Apprentis de l'Industrie d'Auvergne;AUVERGNE-RHONE-ALPES;29;74;73;0;29;52;19
0031067U;centre form prof promo agricoles de moulins;AUVERGNE-RHONE-ALPES;26;53;61;-8;26;39;35
0031127J;Organisme de formation-Centre de Formation d'Apprentis d'Alternance Auvergne, Montluçon;AUVERGNE-RHONE-ALPES;;;;;;;
0031131N;Organisme de formation-Centre de formation d'apprentis d'IMCS SARL Gestion Formation Conseil Auvergne, Vichy;AUVERGNE-RHONE-ALPES;;;;;;;
0040161D;CFA CAMPUS DE DIGNE;PROVENCE-ALPES-COTE D'AZUR;40;58;59;-2;40;35;25
0040548Z;CFA d'apprentis de Sup'alternance provence de Manosque;PROVENCE-ALPES-COTE D'AZUR;24;62;60;2;24;47;29
0040578G;SPORT ET FORMATION;PROVENCE-ALPES-COTE D'AZUR;27;53;50;3;27;39;34
0040579H;ALPES DEVELOPPEMENT FORMATION;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0050503V;CFA Régional des Métiers et de l'Artisanat Campus de Gap;PROVENCE-ALPES-COTE D'AZUR;32;62;63;-1;32;43;25
0050606G;Maison Familiale Rurale de Ventavon;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0050621Y;Greta-CFA Alpes Provence;PROVENCE-ALPES-COTE D'AZUR;37;78;66;12;37;49;14
0050665W;GROUPE ALTERNANCE GAP;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0060862E;Ctre de formation d'apprentis Inst. de form. pharmacie et santé;PROVENCE-ALPES-COTE D'AZUR;33;58;62;-4;33;39;28
0060916N;Ctre de formation d'apprentis bâtiment et TP des AM;PROVENCE-ALPES-COTE D'AZUR;31;57;61;-5;31;39;30
0060918R;Ctre de formation d'apprentis inst de formation automobile;PROVENCE-ALPES-COTE D'AZUR;26;62;62;0;26;46;28
0060920T;Ctre de formation régional d'apprentis Faculté des métiers;PROVENCE-ALPES-COTE D'AZUR;38;54;60;-6;38;33;29
0061603K;CFA régional PACA;PROVENCE-ALPES-COTE D'AZUR;29;52;52;1;29;37;34
0061909T;Ctre de formation d'apprentis Métropole Côte d'Azur;PROVENCE-ALPES-COTE D'AZUR;31;57;60;-3;31;39;30
0061992H;Ecole supérieure privée ISCAE;PROVENCE-ALPES-COTE D'AZUR;50;;;;50;26;24
0062087L;CFA rég. Infosupaca;PROVENCE-ALPES-COTE D'AZUR;55;;;;55;27;18
0062093T;Ctre de formation d'apprentis régional Don Bosco;PROVENCE-ALPES-COTE D'AZUR;25;52;63;-11;25;39;36
0062116T;Ecole supérieure privée Neven education;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0062173E;Etablissement technique privé Campus Riera;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0062176H;GIP FIPAN CFA Rég de l'académie de Nice;PROVENCE-ALPES-COTE D'AZUR;30;56;59;-3;30;39;31
0062199H;Centre d'enseignement à distance VISIPLUS;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0062200J;Organinsme de formation - centre de formation d'apprentis Groupement Promotion Echanges Internationaux Antibes;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0062201K;Organisme formation-Centre de formation d'apprentis UFIP Nice;PROVENCE-ALPES-COTE D'AZUR;40;;;;40;36;24
0062202L;Organisme de formation-Centre de formation d'apprentis du centre de formations aux métiers de la petite enfance Nice;PROVENCE-ALPES-COTE D'AZUR;26;52;44;8;26;39;35
0062204N;Organisme formation-Centre de formation d'apprentis CFA CCINCA Nice;PROVENCE-ALPES-COTE D'AZUR;36;63;68;-5;36;41;23
0062213Y;Organisme de formation-Centre de formation d'apprentis Conseil - Formation Nice;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0062221G;Organisme de formation-Centre de formation d'apprentis Alternance Sud Azur Nice;PROVENCE-ALPES-COTE D'AZUR;49;68;61;7;49;35;16
0062255U;Organisme de formation-Centre de formation d'apprentis UPDATE 06 Antibes;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0062263C;Organisme de formation-Centre de formation d'apprentis ARDRESS Le Cannet;PROVENCE-ALPES-COTE D'AZUR;;;;;;;
0062307A;Organisme de formation-Centre de formation d'apprentis AFTRAL Carros;PROVENCE-ALPES-COTE D'AZUR;22;90;78;12;22;70;8
0070876P;Organisme de formation-Centre de formation d'apprentis de la SEPR-Annonay;AUVERGNE-RHONE-ALPES;41;69;61;8;41;40;19
0071199R;Organisme de formation-Centre de formation d'apprentis d'André Fargier-Lanas;AUVERGNE-RHONE-ALPES;39;46;54;-8;39;28;33
0071376H;Organisme de formation-Centre de formation d'apprentis d'ADAPSS-Guilherand-Granges;AUVERGNE-RHONE-ALPES;20;77;82;-5;20;61;19
0071385T;Greta Vivarais Provence;AUVERGNE-RHONE-ALPES;;;;;;;
0071456V;Organisme de formation-Centre de formation d'apprentis de Formation Emploi Avenir-Privas;AUVERGNE-RHONE-ALPES;30;62;53;8;30;43;27
0080842X;ALMEA FORMATION Interpro Ardennes;GRAND EST;42;48;54;-6;42;28;30
0080972N;Centre de Formation d'Apprentis Agricole des Ardennes;GRAND EST;39;52;59;-8;39;31;30
0081002W;Greta des Ardennes;GRAND EST;34;75;69;7;34;49;17
0081065P;Centre de Formation d'Apprentis Agricole Saint-Laurent;GRAND EST;36;49;46;3;36;32;32
0081137T;Offre de formation par apprentissage du BTP Grandest des Ardennes;GRAND EST;49;62;68;-6;49;32;19
