n°UAI de l'établissement;Libellé de l'établissement;Région;Dont apprentis en EPLE;Taux de poursuite d'études;Taux;Taux attendu;Valeur ajoutée;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
0010001W;Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat;AUVERGNE-RHONE-ALPES;ensemble;57;54;45;9;57;23;20
0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;dont apprentis;23;67;67;0;23;52;25
0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;ensemble;50;43;45;-2;50;22;28
0010006B;Lycée polyvalent Saint-Exupéry - Lycée des métiers de l'hôtellerie et des services - Lycée des métiers des énergies du bâtiment;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;52;39;41;-2;52;18;30
0010014K;Lycée général et technologique Edgar Quinet;AUVERGNE-RHONE-ALPES;ensemble;52;69;62;7;52;33;15
0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;dont apprentis;53;73;73;0;53;35;12
0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;ensemble;52;65;63;2;52;31;17
0010016M;Lycée polyvalent Joseph-Marie Carriat;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;52;62;59;3;52;30;18
0010020S;Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques;AUVERGNE-RHONE-ALPES;dont apprentis;65;84;77;7;65;30;5
0010020S;Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques;AUVERGNE-RHONE-ALPES;ensemble;58;69;60;9;58;29;13
0010020S;Lycée professionnel Georges Charpak - Lycée des métiers de la maintenance des engins mécaniques;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;50;56;44;11;50;28;22
0010021T;Lycée professionnel Marcelle Pardé - Lycée des métiers du réseau textile mode cuir;AUVERGNE-RHONE-ALPES;ensemble;53;53;51;2;53;25;22
0010032E;Lycée polyvalent Xavier Bichat;AUVERGNE-RHONE-ALPES;ensemble;39;43;41;3;39;26;35
0010034G;Lycée polyvalent Paul Painlevé;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0010034G;Lycée polyvalent Paul Painlevé;AUVERGNE-RHONE-ALPES;ensemble;58;50;39;11;58;21;21
0010034G;Lycée polyvalent Paul Painlevé;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;58;50;38;12;58;21;21
0010070W;Lycée général et technologique privé Saint Pierre;AUVERGNE-RHONE-ALPES;ensemble;62;70;61;8;62;27;11
0010072Y;Lycée polyvalent international;AUVERGNE-RHONE-ALPES;ensemble;38;49;46;3;38;30;32
0010099C;Lycée professionnel privé Saint Joseph - Lycée des métier des services administratifs et commerciaux - Lycée des métiers de l'électronique;AUVERGNE-RHONE-ALPES;ensemble;70;41;49;-9;70;12;18
0010814E;Lycée professionnel privé Saint Joseph;AUVERGNE-RHONE-ALPES;ensemble;54;29;41;-12;54;13;33
0010878Z;Lycée polyvalent privé Jeanne d'Arc;AUVERGNE-RHONE-ALPES;ensemble;55;27;39;-12;55;12;33
0010966V;Etablissement régional d'enseignement adapté Philibert Commerson;AUVERGNE-RHONE-ALPES;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0010966V;Etablissement régional d'enseignement adapté Philibert Commerson;AUVERGNE-RHONE-ALPES;ensemble;36;41;33;8;36;26;38
0010966V;Etablissement régional d'enseignement adapté Philibert Commerson;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;37;40;32;8;37;25;38
0011010T;Section d'enseignement professionnel du Lycée polyvalent du Bugey;AUVERGNE-RHONE-ALPES;ensemble;35;35;38;-3;35;23;42
0011118K;Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté;AUVERGNE-RHONE-ALPES;dont apprentis;27;59;70;-10;27;43;30
0011118K;Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté;AUVERGNE-RHONE-ALPES;ensemble;41;52;54;-2;41;31;28
0011118K;Lycée professionnel Gabriel Voisin - Lycée des métiers de l'automobile, du transport et de la logistique, de la propreté;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;43;51;51;0;43;29;28
0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;dont apprentis;38;64;71;-7;38;40;22
0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;ensemble;64;55;50;5;64;20;16
0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;68;51;42;9;68;16;16
0011194T;Lycée général et technologique de la Plaine de l'Ain;AUVERGNE-RHONE-ALPES;ensemble;28;67;63;4;28;48;24
0011258M;Lycée professionnel privé Ensemble scolaire Lamartine;AUVERGNE-RHONE-ALPES;ensemble;66;nd;nd;nd;66;24;10
0011276G;Lycée général et technologique du Val de Saône;AUVERGNE-RHONE-ALPES;dont apprentis;17;75;78;-3;17;62;21
0011276G;Lycée général et technologique du Val de Saône;AUVERGNE-RHONE-ALPES;ensemble;28;67;72;-6;28;48;24
0011276G;Lycée général et technologique du Val de Saône;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;41;nd;nd;nd;41;32;27
0020012C;Lycée polyvalent Jean de la Fontaine - Lycée des métiers de la santé, de la gestion et du commerce;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0020012C;Lycée polyvalent Jean de la Fontaine - Lycée des métiers de la santé, de la gestion et du commerce;HAUTS-DE-FRANCE;ensemble;46;32;36;-4;46;17;37
0020012C;Lycée polyvalent Jean de la Fontaine - Lycée des métiers de la santé, de la gestion et du commerce;HAUTS-DE-FRANCE;dont élèves en voie pro sco;46;32;35;-4;46;17;37
0020014E;Lycée d'enseignement général et technologique Gay Lussac;HAUTS-DE-FRANCE;dont apprentis;32;75;69;5;32;51;17
0020014E;Lycée d'enseignement général et technologique Gay Lussac;HAUTS-DE-FRANCE;ensemble;33;61;60;0;33;41;26
0020014E;Lycée d'enseignement général et technologique Gay Lussac;HAUTS-DE-FRANCE;dont élèves en voie pro sco;33;49;53;-4;33;33;34
0020022N;Lycée professionnel Jean Monnet;HAUTS-DE-FRANCE;ensemble;52;33;40;-7;52;16;32
0020025S;Lycée professionnel Château Potel - Lycée des métiers horticulture et maintenance (véhicules industriels, matériels agricoles et travaux publics);HAUTS-DE-FRANCE;dont apprentis;13;65;75;-10;13;57;30
0020025S;Lycée professionnel Château Potel - Lycée des métiers horticulture et maintenance (véhicules industriels, matériels agricoles et travaux publics);HAUTS-DE-FRANCE;ensemble;53;48;47;1;53;22;25
0020025S;Lycée professionnel Château Potel - Lycée des métiers horticulture et maintenance (véhicules industriels, matériels agricoles et travaux publics);HAUTS-DE-FRANCE;dont élèves en voie pro sco;59;42;38;4;59;17;24
0020031Y;Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0020031Y;Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie;HAUTS-DE-FRANCE;ensemble;26;46;53;-7;26;34;40
0020031Y;Lycée d'enseignement général et technologique Frédéric et Irène Joliot Curie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;25;41;50;-9;25;31;44
0020032Z;Lycée général et technologique Paul Claudel;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0020032Z;Lycée général et technologique Paul Claudel;HAUTS-DE-FRANCE;ensemble;33;46;51;-6;33;31;36
0020032Z;Lycée général et technologique Paul Claudel;HAUTS-DE-FRANCE;dont élèves en voie pro sco;33;46;51;-5;33;31;36
0020034B;Lycée polyvalent Pierre Méchain;HAUTS-DE-FRANCE;ensemble;54;33;38;-6;54;15;31
0020048S;Lycée général et technologique Henri Martin;HAUTS-DE-FRANCE;dont apprentis;59;nd;nd;nd;59;14;27
0020048S;Lycée général et technologique Henri Martin;HAUTS-DE-FRANCE;ensemble;53;44;46;-2;53;20;27
0020048S;Lycée général et technologique Henri Martin;HAUTS-DE-FRANCE;dont élèves en voie pro sco;51;46;43;3;51;22;27
0020049T;Lycée général et technologique Pierre de La Ramée;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
0020049T;Lycée général et technologique Pierre de La Ramée;HAUTS-DE-FRANCE;ensemble;36;47;54;-7;36;30;34
0020049T;Lycée général et technologique Pierre de La Ramée;HAUTS-DE-FRANCE;dont élèves en voie pro sco;33;47;54;-7;33;31;36
0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;dont apprentis;43;70;73;-2;43;40;17
0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;ensemble;41;58;54;4;41;34;25
0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;dont élèves en voie pro sco;41;55;50;5;41;33;26
0020051V;Lycée professionnel d'art - Lycée des métiers;HAUTS-DE-FRANCE;ensemble;64;26;30;-3;64;9;27
0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;dont apprentis;44;41;53;-12;44;23;33
0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;ensemble;43;36;32;4;43;21;36
0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;42;35;29;7;42;20;38
0020059D;Lycée général et technologique Gérard de Nerval;HAUTS-DE-FRANCE;ensemble;44;53;57;-4;44;30;26
0020078Z;Lycée professionnel Julie Daubie;HAUTS-DE-FRANCE;dont apprentis;nd;nd;nd;nd;nd;nd;nd
